날짜,식이구분,조식,중식,석식
2025-02-01,저염식,쌀밥+감자된장국+돈민찌메란장조림+양배추나물+건고구마대들깨나물+백김치,쌀밥+순두부백탕+소고기버섯볶음+가지나물+얼갈이된장나물+백김치,잡곡밥+삼색수제비국+코다리간장조림+도토리묵+양념장+상추간장무침+백김치
2025-02-02,일반식,쌀밥+소고기미역국+낙지야채볶음+도톰동그랑땡전+케찹+쑥갓나물+포기김치,쌀밥+돈육김치국+닭봉데리야끼조림+단호박견과류찜+건새우무조림+갓김치,비빔밥+무생채+후라이+팽이버섯된장국+돈육고추장불고기+옛날과일사라다+약고추장+포기김치
2025-02-02,당뇨식,보리밥+소고기미역국+낙지야채볶음+도톰동그랑땡전+쑥갓나물+포기김치,보리밥+돈육김치국+닭봉간장조림+단호박찜+건새우무조림+갓김치,비빔밥+무생채+후라이+팽이버섯된장국+돈육고추장불고기+맛살볶음+약고추장+포기김치
2025-02-02,연식,야채죽+소고기미역국+낙지간장볶음+도톰동그랑땡전+쑥갓나물+백김치,소고기죽+감자들깨국+닭봉간장조림+단호박견과류찜+무나물+백김치,쌀죽+팽이버섯된장국+간장돈육불고기+맛살볶음+약고추장+백김치
2025-02-02,저염식,쌀밥+소고기미역국+낙지간장볶음+도톰동그랑땡전+쑥갓나물+백김치,쌀밥+감자들깨국+닭봉간장조림+단호박견과류찜+무나물+백김치,비빔밥+후라이+팽이버섯된장국+간장돈육불고기+맛살볶음+간장양념장+백김치
2025-02-03,일반식,쌀밥+아욱된장국+갈치카레튀김+어묵잡채+참나물쌈장무침+깍두기,쌀밥+물만두국+꿔바로우+유니짜장소스+반달단무지+포기김치,잡곡밥+뼈없는감자탕+오징어+브로콜리숙회+매콤두부조림+미나리나물+깍두기
2025-02-03,당뇨식,보리밥+아욱된장국+갈치구이+어묵잡채+참나물쌈장무침+깍두기,보리밥+물만두국+간장불고기+감자조림+양배추나물+포기김치,잡곡밥+뼈없는감자탕+오징어브로콜리볶음+매콤두부조림+미나리나물+깍두기
2025-02-03,연식,해물죽+아욱된장국+갈치카레튀김+어묵잡채+참나물무침+백김치,흑임자죽+물만두국+간장불고기+감자조림+양배추나물+백김치,야채죽+시래기된장국+오징어브로콜리볶음+두부구이+미나리나물+백김치
2025-02-03,저염식,쌀밥+아욱된장국+갈치카레튀김+어묵잡채+참나물무침+백김치,쌀밥+물만두국+간장불고기+감자조림+양배추나물+백김치,잡곡밥+시래기된장국+오징어브로콜리볶음+두부구이+미나리나물+백김치
2025-02-04,일반식,쌀밥+콩나물맑은국+햄감자짜글이+계란후라이+파래무초무침+포기김치,쌀밥1/2+콘스프+찹스테이크+크림스파게티+양상추샐러드+포기김치,잡곡밥+매생이굴국+가오리찜+양념장+김치전+깻잎세발겉절이+갓김치
